,index,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,tdelta,fom
0,0,January,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,Tennessee,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,15.583333333333334,0.0
1,0,January,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,Alabama,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,15.583333333333334,0.0
2,0,January,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,Georgia,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,15.583333333333334,0.0
3,0,January,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,Kentucky,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,15.583333333333334,0.0
4,0,January,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,Missouri,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,15.583333333333334,0.0
5,0,January,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,North Carolina,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,15.583333333333334,0.0
6,0,January,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,Tennessee,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,15.583333333333334,0.0
7,0,January,2015-01-07 00:00:00,17:00:00,2015-01-08 00:00:00,08:35:00,Virginia,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,15.583333333333334,0.0
8,0,January,2015-01-22 00:00:00,04:24:00,2015-01-22 00:00:00,05:55:00,Oregon,WECC,Suspected Physical Attack,Vandalism,0,0,1.5166666666666666,0.0
9,0,January,2015-01-26 00:00:00,14:39:00,2015-01-26 00:00:00,14:40:00,Oregon,WECC,Suspected Physical Attack,Vandalism,0,0,0.016666666666666666,0.0
10,0,January,2015-01-27 00:00:00,10:30:00,2015-01-27 00:00:00,10:31:00,Texas,SERC,Suspected Physical Attack,Sabotage,0,0,0.016666666666666666,0.0
11,0,February,2015-02-01 00:00:00,11:24:00,2015-02-01 00:00:00,11:44:00,Utah,WECC,Suspected Physical Attack,Vandalism,0,0,0.3333333333333333,0.0
12,0,February,2015-02-02 00:00:00,09:40:00,2015-02-02 00:00:00,09:41:00,Texas,TRE,Suspected Physical Attack,Sabotage,0,0,0.016666666666666666,0.0
13,0,February,2015-02-04 00:00:00,11:55:00,2015-02-04 00:00:00,11:56:00,California,WECC,Suspected Physical Attack,Vandalism,0,0,0.016666666666666666,0.0
14,0,February,2015-02-05 00:00:00,08:15:00,2015-02-05 00:00:00,08:17:00,Arizona,WECC,Suspected Physical Attack,Vandalism,0,0,0.03333333333333333,0.0
15,0,February,2015-02-05 00:00:00,11:20:00,2015-02-05 00:00:00,11:21:00,California,WECC,Suspected Physical Attack,Vandalism,0,0,0.016666666666666666,0.0
16,0,February,2015-02-09 00:00:00,11:30:00,2015-02-09 00:00:00,13:15:00,Colorado,WECC,Suspected Physical Attack,Sabotage,0,0,1.75,0.0
17,0,February,2015-02-16 00:00:00,21:41:00,2015-02-18 00:00:00,07:00:00,Georgia,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,620,186035,33.31666666666667,6198066.083333334
18,0,February,2015-02-16 00:00:00,21:00:00,2015-02-18 00:00:00,14:00:00,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,9598,41.0,393518.0
19,0,February,2015-02-16 00:00:00,21:00:00,2015-02-18 00:00:00,14:00:00,Georgia,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,9598,41.0,393518.0
20,0,February,2015-02-16 00:00:00,21:00:00,2015-02-18 00:00:00,14:00:00,Kentucky,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,9598,41.0,393518.0
21,0,February,2015-02-16 00:00:00,21:00:00,2015-02-18 00:00:00,14:00:00,Missouri,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,9598,41.0,393518.0
22,0,February,2015-02-16 00:00:00,21:00:00,2015-02-18 00:00:00,14:00:00,North Carolina,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,9598,41.0,393518.0
23,0,February,2015-02-16 00:00:00,21:00:00,2015-02-18 00:00:00,14:00:00,Tennessee,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,9598,41.0,393518.0
24,0,February,2015-02-16 00:00:00,21:00:00,2015-02-18 00:00:00,14:00:00,Virginia,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,9598,41.0,393518.0
25,0,February,2015-02-17 00:00:00,09:00:00,2015-02-18 00:00:00,23:00:00,North Carolina,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,26000,38.0,988000.0
26,0,February,2015-02-17 00:00:00,09:00:00,2015-02-18 00:00:00,23:00:00,South Carolina,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,26000,38.0,988000.0
27,0,February,2015-02-17 00:00:00,02:12:00,2015-02-18 00:00:00,16:00:00,North Carolina,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,34000,37.8,1285200.0
28,0,February,2015-02-17 00:00:00,02:12:00,2015-02-18 00:00:00,16:00:00,South Carolina,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,0,34000,37.8,1285200.0
29,0,February,2015-02-17 00:00:00,06:20:00,2015-02-17 00:00:00,07:30:00,Arizona,WECC,Suspected Physical Attack,Vandalism,0,0,1.1666666666666667,0.0
30,0,February,2015-02-18 00:00:00,15:00:00,2015-02-20 00:00:00,09:00:00,Alabama,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,42.0,0.0
31,0,February,2015-02-18 00:00:00,15:00:00,2015-02-20 00:00:00,09:00:00,Georgia,SERC,Public appeal to reduce the use of electricity,Severe Weather - Winter,0,0,42.0,0.0
