,state_name,fom
0,Alabama,26098516.05
1,Arizona,1415674.4166666665
2,Arkansas,16458680.200000001
3,California,308806404.98333335
4,Colorado,2460344.2833333337
5,Connecticut,37952397.0
6,Delaware,19333103.75
7,District of Columbia,0.0
8,Florida,158588693.5
9,Georgia,32796749.35
10,Idaho,442373.05
11,Illinois,40850993.766666666
12,Indiana,7989033.566666667
13,Iowa,1019343.0
14,Kansas,20324224.5
15,Kentucky,9242230.05
16,Louisiana,79098459.93333334
17,Maine,45040418.083333336
18,Maryland,2700000.0
19,Massachusetts,43368388.71666667
20,Michigan,301507782.1166667
21,Minnesota,15260749.85
22,Mississippi,23151245.816666666
23,Missouri,28891835.25
24,Montana,207999.36666666667
25,Nebraska,8583485.0
26,Nevada,39780123.18333334
27,New Hampshire,26348229.05
28,New Jersey,176174956.03333333
29,New Mexico,987129.9666666666
30,New York,48052909.75
31,North Carolina,248007167.33333334
32,North Dakota,254369.8833333333
33,Ohio,35982297.233333334
34,Oklahoma,158702056.58333334
35,Oregon,32290896.6
36,Pennsylvania,65659915.266666666
37,Puerto Rico,95127408.33333333
38,Rhode Island,42286796.46666667
39,South Carolina,182485721.18333334
40,South Dakota,208089.65
41,Tennessee,27892199.85
42,Texas,2012456207.7666667
43,Utah,645246.2166666667
44,Vermont,26804813.25
45,Virginia,39817024.45
46,Washington,173293406.5
47,West Virginia,16451598.6
48,Wisconsin,5632308.333333334
49,Wyoming,0.0
